sku_id,state_code,week_index,quantity_actual
SKU_ENT_01,MH,2023-W01,1013
SKU_ENT_01,MH,2023-W02,1287
SKU_ENT_01,MH,2023-W03,1579
SKU_ENT_01,MH,2023-W04,1168
SKU_ENT_01,MH,2023-W05,1321
SKU_ENT_01,MH,2023-W06,1221
SKU_ENT_01,MH,2023-W07,1310
SKU_ENT_01,MH,2023-W08,1328
SKU_ENT_01,MH,2023-W09,1697
SKU_ENT_01,MH,2023-W10,1239
SKU_ENT_01,MH,2023-W11,1360
SKU_ENT_01,MH,2023-W12,1793
SKU_ENT_01,MH,2023-W13,1712
SKU_ENT_01,MH,2023-W14,1676
SKU_ENT_01,MH,2023-W15,2034
SKU_ENT_01,MH,2023-W16,1619
SKU_ENT_01,MH,2023-W17,3227
SKU_ENT_01,MH,2023-W18,3197
SKU_ENT_01,MH,2023-W19,3118
SKU_ENT_01,MH,2023-W20,2760
SKU_ENT_01,MH,2023-W21,1984
SKU_ENT_01,MH,2023-W22,2519
SKU_ENT_01,MH,2023-W23,2069
SKU_ENT_01,MH,2023-W24,1787
SKU_ENT_01,MH,2023-W25,2009
SKU_ENT_01,MH,2023-W26,2067
SKU_ENT_01,MH,2023-W27,2521
SKU_ENT_01,MH,2023-W28,1610
SKU_ENT_01,MH,2023-W29,1672
SKU_ENT_01,MH,2023-W30,1884
SKU_ENT_01,MH,2023-W31,1741
SKU_ENT_01,MH,2023-W32,1949
SKU_ENT_01,MH,2023-W33,1879
SKU_ENT_01,MH,2023-W34,1671
SKU_ENT_01,MH,2023-W35,2321
SKU_ENT_01,MH,2023-W36,1672
SKU_ENT_01,MH,2023-W37,1717
SKU_ENT_01,MH,2023-W38,1564
SKU_ENT_01,MH,2023-W39,1523
SKU_ENT_01,MH,2023-W40,1254
SKU_ENT_01,MH,2023-W41,2033
SKU_ENT_01,MH,2023-W42,4828
SKU_ENT_01,MH,2023-W43,3557
SKU_ENT_01,MH,2023-W44,3547
SKU_ENT_01,MH,2023-W45,3669
SKU_ENT_01,MH,2023-W46,1250
SKU_ENT_01,MH,2023-W47,1241
SKU_ENT_01,MH,2023-W48,1428
SKU_ENT_01,MH,2023-W49,1021
SKU_ENT_01,MH,2023-W50,2124
SKU_ENT_01,MH,2023-W51,1721
SKU_ENT_01,MH,2023-W52,1401
SKU_ENT_01,MH,2024-W01,1080
SKU_ENT_01,MH,2024-W02,984
SKU_ENT_01,MH,2024-W03,1237
SKU_ENT_01,MH,2024-W04,1604
SKU_ENT_01,MH,2024-W05,1020
SKU_ENT_01,MH,2024-W06,1209
SKU_ENT_01,MH,2024-W07,1139
SKU_ENT_01,MH,2024-W08,1208
SKU_ENT_01,MH,2024-W09,1286
SKU_ENT_01,MH,2024-W10,1148
SKU_ENT_01,MH,2024-W11,1687
SKU_ENT_01,MH,2024-W12,1821
SKU_ENT_01,MH,2024-W13,1510
SKU_ENT_01,MH,2024-W14,1535
SKU_ENT_01,MH,2024-W15,2498
SKU_ENT_01,MH,2024-W16,2515
SKU_ENT_01,MH,2024-W17,2335
SKU_ENT_01,MH,2024-W18,3125
SKU_ENT_01,MH,2024-W19,3667
SKU_ENT_01,MH,2024-W20,2289
SKU_ENT_01,MH,2024-W21,1965
SKU_ENT_01,MH,2024-W22,2559
SKU_ENT_01,MH,2024-W23,1742
SKU_ENT_01,MH,2024-W24,2141
SKU_ENT_01,MH,2024-W25,2141
SKU_ENT_01,MH,2024-W26,1961
SKU_ENT_01,MH,2024-W27,1816
SKU_ENT_01,MH,2024-W28,1888
SKU_ENT_01,MH,2024-W29,1824
SKU_ENT_01,MH,2024-W30,1399
SKU_ENT_01,MH,2024-W31,1600
SKU_ENT_01,MH,2024-W32,1572
SKU_ENT_01,MH,2024-W33,1918
SKU_ENT_01,MH,2024-W34,1693
SKU_ENT_01,MH,2024-W35,1751
SKU_ENT_01,MH,2024-W36,1550
SKU_ENT_01,MH,2024-W37,1677
SKU_ENT_01,MH,2024-W38,1501
SKU_ENT_01,MH,2024-W39,1446
SKU_ENT_01,MH,2024-W40,1472
SKU_ENT_01,MH,2024-W41,1629
SKU_ENT_01,MH,2024-W42,3402
SKU_ENT_01,MH,2024-W43,3322
SKU_ENT_01,MH,2024-W44,3695
SKU_ENT_01,MH,2024-W45,2704
SKU_ENT_01,MH,2024-W46,1561
SKU_ENT_01,MH,2024-W47,1049
SKU_ENT_01,MH,2024-W48,922
SKU_ENT_01,MH,2024-W49,1440
SKU_ENT_01,MH,2024-W50,1842
SKU_ENT_01,MH,2024-W51,1861
SKU_ENT_01,MH,2024-W52,1528
SKU_ENT_01,MH,2025-W01,1128
SKU_ENT_01,MH,2025-W02,1056
SKU_ENT_01,MH,2025-W03,1156
SKU_ENT_01,MH,2025-W04,1022
SKU_ENT_01,MH,2025-W05,1252
SKU_ENT_01,MH,2025-W06,1179
SKU_ENT_01,MH,2025-W07,1156
SKU_ENT_01,MH,2025-W08,1231
SKU_ENT_01,MH,2025-W09,1708
SKU_ENT_01,MH,2025-W10,1515
SKU_ENT_01,MH,2025-W11,1179
SKU_ENT_01,MH,2025-W12,1326
SKU_ENT_01,MH,2025-W13,1755
SKU_ENT_01,MH,2025-W14,1467
SKU_ENT_01,MH,2025-W15,1730
SKU_ENT_01,MH,2025-W16,2217
SKU_ENT_01,MH,2025-W17,2797
SKU_ENT_01,MH,2025-W18,2647
SKU_ENT_01,MH,2025-W19,3797
SKU_ENT_01,MH,2025-W20,1640
SKU_ENT_01,MH,2025-W21,2026
SKU_ENT_01,MH,2025-W22,2054
SKU_ENT_01,MH,2025-W23,1811
SKU_ENT_01,MH,2025-W24,1673
SKU_ENT_01,MH,2025-W25,1605
SKU_ENT_01,MH,2025-W26,1521
SKU_ENT_01,MH,2025-W27,1713
SKU_ENT_01,MH,2025-W28,1914
SKU_ENT_01,MH,2025-W29,1900
SKU_ENT_01,MH,2025-W30,1713
SKU_ENT_01,MH,2025-W31,1605
SKU_ENT_01,MH,2025-W32,1819
SKU_ENT_01,MH,2025-W33,1468
SKU_ENT_01,MH,2025-W34,1406
SKU_ENT_01,MH,2025-W35,1847
